Region,Season,Bull,Cow,Steer,Heifer,Calf,Sheep,Goat,Lamb,Kid
Dry Savannah,DS,41.64707885834691,58.3485400022347,22.140802990098294,20.05773035438516,4.190062202276606,5.619944214727634,6.577423935271251,7.747105110396312,5.73169838406063
Dry Savannah,WS,59.27699998292328,69.55056769911606,36.35240693438287,44.209213383027304,10.712466582001491,20.85307947578316,30.02447691530179,10.670031056908948,7.874398049244354
Forest,DS,46.12103035879793,61.381100168781586,28.934966346873377,21.974115033990227,6.689504663246026,5.89147554374412,9.24154928035052,13.275453330533646,6.839267585887878
Forest,WS,61.29681302994182,66.11974830427528,49.05791399918401,38.35175468726953,28.02324143071335,14.28556654490682,19.748301221064185,10.68679160148347,8.230421618259344
Periurban,DS,42.52003035879793,58.33572016878159,26.945966346873377,21.277315033990227,6.413904663246026,5.35847554374412,8.81514928035052,12.745053330533645,6.507767585887878
Periurban,WS,57.85181302994182,64.60680830427528,46.79591399918401,36.375754687269534,27.903641430713353,13.757246544906819,19.286021221064185,10.27183160148347,7.9364916182593435
Wet Savannah,DS,46.12103035879793,61.381100168781586,28.934966346873377,21.974115033990227,6.689504663246026,5.89147554374412,9.24154928035052,13.275453330533646,6.839267585887878
Wet Savannah,WS,61.29681302994182,66.11974830427528,49.05791399918401,38.35175468726953,28.02324143071335,14.28556654490682,19.748301221064185,10.68679160148347,8.230421618259344
