Region,Season,Bull,Cow,Steer,Heifer,Calf,Sheep,Goat,Lamb,Kid
Dry Savannah,DS,42.060979770889226,57.99493742765776,26.84932443497198,22.134936920575225,14.653693225059271,6.131525535792134,6.997685730185662,8.078337978379418,6.133888051225407
Dry Savannah,WS,58.75840526095013,68.45930016920691,58.64038443964121,45.32176659835103,19.54768263917421,23.941657377522077,29.17536040052347,10.794798169706768,8.107159571545914
Forest,DS,46.332184267307184,63.8196250500472,33.18109905352493,26.355749928094067,19.495446337551254,6.068242450994667,9.328571807582032,12.714163255691696,7.370585342380446
Forest,WS,67.192457444225,68.6948088604953,52.846703451177255,42.786063294707,38.72744318225527,12.924244440814167,15.141041095466258,10.725757592576533,8.49812033784541
Periurban,DS,42.640184267307184,58.071332911318876,30.77609905352493,25.46134992809407,18.337926337551252,5.436442450994667,8.790371807582032,12.109663255691697,6.911165342380446
Periurban,WS,62.993457444224994,65.08712121688451,50.11670345117726,40.251063294707,38.22512318225527,13.734581603768445,18.930022103672588,10.134257592576533,8.048580337845411
Wet Savannah,DS,46.332184267307184,61.392312911318875,33.18109905352493,26.355749928094067,19.495446337551254,6.068242450994667,9.328571807582032,12.714163255691696,7.370585342380446
Wet Savannah,WS,67.192457444225,66.72564121688451,52.846703451177255,42.786063294707,38.72744318225527,14.535381603768446,19.61642210367259,10.725757592576533,8.49812033784541
