"NAME_1","feedDM_2020","feedDM_2021","feedDM_2022","feedDM_2023"
"(Agro)pastoral sahel",2381321216,2156857344,2409938176,1769512576
"Central mixed",22315827200,21313288192,22229499904,22429886464
"Forest mixed",8653520896,9318759424,9700207616,9727576064
"Northern mixed",15899066368,15381111808,16634261504,15857380352
"Southern mixed",3709723136,3722808832,4002501632,3942638848
