"ECOZone","area_meters","area_acres","area_hectares"
"(Agro)pastoral sahel",87118938984.2108,21527560.265269,8711893.89842108
"Central mixed",309011618576.495,76358439.6129923,30901161.8576495
"Forest mixed",117729801090.644,29091669.5904239,11772980.1090644
"Northern mixed",323229405307.747,79871731.4903331,32322940.5307747
"Southern mixed",106343118320.375,26277958.7898037,10634311.8320375
