"mean.LUgrass300","mean.LUshrub300","mean.LUtree300","mean.LUcrops300"
28.9074331521988,19.8248445987701,6.76098465919495,41.6464596986771
30.7672917842865,15.7019540667534,8.90128612518311,41.1880165338516
28.4424722194672,19.6658998727798,11.1132703721523,35.7673346996307
5.36796450614929,7.66102001070976,85.8825743198395,0.186700210906565
25.0748544931412,20.3225135803223,35.6207430362701,16.4870649576187
31.2815517187119,18.5098275542259,22.4507346749306,25.2582103013992
41.9001013040543,18.1515112519264,4.85259816050529,31.8247735500336
31.1800956726074,20.2994018793106,4.2428120970726,39.9842709302902
34.1604828834534,20.3256264328957,5.95940537750721,35.5601221323013
25.0911027193069,18.6473056674004,6.99761286377907,44.8399841785431
29.754039645195,21.0558727383614,15.9706473350525,30.9213191270828
28.0671089887619,20.4809665679932,10.0400649011135,37.5153392553329
32.3353052139282,24.116188287735,24.5850041508675,10.7996009290218
30.5866032838821,20.9661826491356,21.7175424098969,24.5995491743088
27.3267507553101,24.0587398409843,30.1137387752533,17.5498276948929
30.766236782074,17.786593735218,10.9998375177383,37.6752942800522
43.9852505922318,15.3403013944626,25.1590043306351,13.951812684536
29.5612990856171,16.8848171830177,13.9203488826752,37.6716107130051
