"LGA","croppingDays","dryDays"
"Gombi",174,191
"Lamurde",190,175
"Mubi South",138,227
"Boki",212,153
"Obubra",206,159
"Yala",208,157
"Biriniwa",126,239
"Birnin Kudu",107,258
"Garki",105,260
"Giwa",129,236
"Kauru",140,225
"Lere",120,245
"Ido",209,156
"Iseyin",202,163
"Saki West",193,172
"Ardo-Kola",175,190
"Sardauna",182,183
"Wukari",186,179
