"","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country","Feed_item","codeSPAM","codeBasket_grouped"
"7414","65038",90.29,41.93,58.42,9.74,4.07,91.19,0.57,13.4,NA,NA,NA,1.9,NA,40.8,8.5,52.34,7.73,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7415","65054",90.51,43.43,59.5,9.81,3.82,91.81,0.74,11.9,NA,NA,NA,1.8,NA,43.2,7.8,50.98,7.53,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7416","65070",90.62,44.37,58.06,10.02,3.8,91.48,0.99,12.2,NA,NA,NA,1.9,NA,27.9,5.9,49.58,7.26,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7417","64991",90.47,41.89,56.65,8.84,5.08,90.95,1.03,13.2,NA,NA,NA,2.1,NA,25.1,5.5,52.34,7.63,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7418","65007",90.66,46.13,60.77,9.95,3.37,91.32,0.94,11.5,NA,NA,NA,1.8,NA,30.7,4.8,49.41,7.21,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7419","65023",90.27,41.83,57.83,9.83,4.46,91.85,0.67,11.8,NA,NA,NA,1.7,NA,36.9,8.8,52.24,7.64,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7420","65039",90.29,44.74,62.51,10.64,3.13,92.95,0.4,11.2,NA,NA,NA,1.6,NA,21.9,4.7,50.92,7.47,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7421","65055",90.29,38.57,54.65,9.07,5.21,90.82,0.79,14,NA,NA,NA,2.1,NA,38.7,8.5,53.91,7.93,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7422","64975",90.66,40.79,54.74,8.71,4.07,88.43,0.79,14.2,NA,NA,NA,2.3,NA,47.9,9.2,54.09,7.96,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7423","65071",90.13,30.87,43.76,6.81,11.12,90.58,1.46,12.8,NA,NA,NA,2.3,NA,33.8,19.1,61.82,9.06,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7424","65072",90.01,28.57,42.62,6.51,11.13,90.56,1.3,14.4,NA,NA,NA,2.3,NA,38.2,19.2,63.18,9.4,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7425","64992",90.37,43.17,59.44,9.25,4.02,91.35,0.73,13,NA,NA,NA,2,NA,23.2,4.3,52.49,7.7,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7426","65008",90.45,41.04,55.66,8.86,4.9,90.26,0.94,14.4,NA,NA,NA,2.2,NA,33,8.5,53.71,7.9,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7427","65024",90.26,37.51,52.82,8.25,7.64,90.8,1.12,15,NA,NA,NA,2.3,NA,18.8,10.9,57.47,8.43,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7428","65040",90.11,37.74,53,8.67,5.8,90.66,0.78,15.2,NA,NA,NA,2.2,NA,27.2,10.5,55.3,8.11,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7429","65056",90.32,41.57,57.19,9.61,4.88,92.3,0.81,12.5,NA,NA,NA,1.8,NA,28.6,8.6,51.93,7.59,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7430","64976",90.64,45.96,61.71,9.44,3.01,90.99,0.81,11.9,NA,NA,NA,2,NA,17.5,2.8,50.99,7.5,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7431","65073",90.51,41.96,57.71,9.56,4.59,91.3,0.84,13,NA,NA,NA,2,NA,33.4,6.6,51.81,7.65,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7432","64993",90.37,40.15,54.83,8.64,4.64,90.02,0.83,13.8,NA,NA,NA,2.2,NA,47,9.6,53.07,7.78,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7433","65009",90.38,41.9,57.58,8.77,4.67,90.89,0.84,15,NA,NA,NA,2.2,NA,21.3,5.8,53.56,7.86,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7434","65025",90.32,39.6,55.35,9.61,5.05,91.24,0.77,12.3,NA,NA,NA,1.8,NA,39.7,10.1,52.98,7.78,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7435","65041",90.24,42.27,59.49,9.58,4.3,92.32,0.55,12.6,NA,NA,NA,1.9,NA,18.7,6.5,53.4,7.87,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7436","65057",90.36,43.81,60.93,10.18,3.81,92.52,0.57,11.6,NA,NA,NA,1.7,NA,37.6,8.1,51.08,7.51,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7437","64977",90.58,43.31,57.07,9.45,4.3,90.92,0.94,12.3,NA,NA,NA,2,NA,37.4,8.7,50.63,7.36,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7438","65074",90.48,36.94,51.8,8.07,7.47,90.05,1.21,15,NA,NA,NA,2.4,NA,21.5,8.3,57.51,8.52,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7439","64994",90.61,43.94,58.06,9.26,4.42,90.89,1.09,13.1,NA,NA,NA,2.1,NA,31.8,5.6,50.82,7.46,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7440","65010",90.49,45.91,61.71,9.94,3.24,91.01,0.8,13.3,NA,NA,NA,1.9,NA,18.2,3.8,50.74,7.43,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7441","65026",89.83,32.26,47.31,7.68,9.22,91.52,1,14.7,NA,NA,NA,2.1,NA,21.8,16.1,58.97,8.68,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7442","65042",90.3,42.35,58.93,9.67,3.85,91.45,0.6,12.7,NA,NA,NA,1.9,NA,22.9,5.9,53.26,7.83,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7443","65058",89.97,26.49,38.77,6.21,13.06,90.02,1.5,14.5,NA,NA,NA,2.5,NA,54.2,25.3,65.07,9.56,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7444","64978",90.64,46.02,63.48,9.79,2.82,91.5,0.57,9.9,NA,NA,NA,1.8,NA,23.4,2.2,51.85,7.7,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7445","64995",90.54,46.06,61.94,9.64,3.35,91.57,0.83,12,NA,NA,NA,1.9,NA,30,4.3,50.17,7.36,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7446","65011",90.5,42.72,56.41,9.25,4.28,89.49,0.92,15.2,NA,NA,NA,2.3,NA,37.6,8.5,51.98,7.61,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7447","65027",90.18,43.09,61.95,10.32,4.09,92.94,0.45,11.8,NA,NA,NA,1.8,NA,31.6,6.1,51.97,7.59,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7448","65043",90.26,40.53,56.67,9.27,4.46,91.23,0.76,14.4,NA,NA,NA,2.1,NA,22.3,6.8,53.09,7.78,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7449","65059",90.28,42.17,59.29,9.83,4.9,92.55,0.7,12.9,NA,NA,NA,1.8,NA,12.5,7.3,52.7,7.76,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7450","64979",90.62,43.21,58.71,9,3.58,89.69,0.81,12.6,NA,NA,NA,2.1,NA,37.4,5.5,52.16,7.66,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7451","64996",90.49,41.88,57.33,9.19,4.2,90.18,0.75,12.9,NA,NA,NA,2.1,NA,39.8,8.4,52.32,7.72,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
"7452","65012",90.74,44.27,58.73,9.5,3.97,88.42,0.68,11.8,NA,NA,NA,2.2,NA,87.8,10.2,51.14,7.54,NA,NA,NA,"Ethiopia","Chickpea straw","chic","leg"
