Variable,Statistic,Season,Region,Bull,Steer,Calf,Heifer,Cow,Lamb,Sheep,Kid,Goat,Horse,Donkey
M.D,Maximum,WS,Forest,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,,
M.D,Minimum,DS,Dry Savannah,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,,
M.D,Minimum,DS,Wet Savannah,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,,
M.D,Minimum,DS,Forest,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,,
M.D,Mean,DS,Dry Savannah,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,,
M.D,Mean,DS,Wet Savannah,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,,
M.D,Mean,DS,Forest,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,,
M.D,Maximum,DS,Dry Savannah,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,,
M.D,Maximum,DS,Wet Savannah,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,,
M.D,Maximum,DS,Forest,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,,
Fertility,Minimum,All,All,,,,,0.59,,0.59,,0.59,,
Fertility,Mean,All,All,,,,,0.64,,0.64,,0.64,,
Fertility,Maximum,All,All,,,,,240,,150,,270,,
LL,Minimum,All,All,,,,,185,,120,,225,,
LL,Mean,All,All,,,,,210,,135,,240,,
LL,Maximum,All,All,,,,,240,,150,,270,,
DMY,Minimum,WS,Dry Savannah,,,,,0.86,,0.27,,0.73,,
DMY,Minimum,WS,Wet Savannah,,,,,1.14,,0.17,,0.5,,
DMY,Minimum,WS,Forest,,,,,1.14,,0.17,,0.5,,
DMY,Minimum,WS,Periurban,,,,,1.25,,0.17,,0.5,,
DMY,Mean,WS,Dry Savannah,,,,,0.86,,0.27,,0.73,,
DMY,Mean,WS,Wet Savannah,,,,,1.14,,0.17,,0.5,,
DMY,Mean,WS,Forest,,,,,1.25,,0.08,,0.25,,
DMY,Mean,WS,Periurban,,,,,3.05,,0.17,,0.5,,
DMY,Maximum,WS,Dry Savannah,,,,,0.86,,0.27,,0.73,,
DMY,Maximum,WS,Wet Savannah,,,,,1.14,,0.17,,0.5,,
DMY,Maximum,WS,Forest,,,,,1.25,,0.08,,0.25,,
DMY,Maximum,WS,Periurban,,,,,7.3,,0.17,,0.5,,
DMY,Minimum,DS,Dry Savannah,,,,,0.86,,0.03,,0.09,,
DMY,Minimum,DS,Wet Savannah,,,,,1.14,,0.08,,0.25,,
DMY,Minimum,DS,Forest,,,,,1.14,,0.08,,0.25,,
DMY,Minimum,DS,Periurban,,,,,1.25,,0.08,,0.25,,
DMY,Mean,DS,Dry Savannah,,,,,0.86,,0.03,,0.09,,
DMY,Mean,DS,Wet Savannah,,,,,1.14,,0.08,,0.25,,
