"ECORegion","DM_2020","DM_2021","DM_2022","DM_2023","area_hectares","tonHa_2020","tonHa_2021","tonHa_2022","tonHa_2023"
"Dry Savannah",519292000,491816672,526645248,502025536,41034834.4291957,0.0126549066719404,0.0119853455933547,0.0128341019362149,0.0122341309032507
"Forest",55711220,57705548,59587964,60080332,11772980.1090644,0.00473212555223007,0.00490152429252561,0.00506141719836265,0.00510323906465638
"Wet Savannah",509864544,499568832,513472096,532646272,41535473.6896869,0.0122753997657332,0.0120275222026429,0.0123622544872407,0.012823888225747
