"ECORegion","DM_2020","DM_2021","DM_2022","DM_2023","area_hectares","tonHa_2020","tonHa_2021","tonHa_2022","tonHa_2023"
"Dry Savannah",265046917120,239808053248,269039714304,251202797568,41034834.4291957,6.45907119662759,5.84401171794128,6.55637382351864,6.12169638460324
"Forest",165204705280,172859457536,179804946432,181726035968,11772980.1090644,14.0325307398425,14.6827273922692,15.2726790299732,15.4358568760414
"Wet Savannah",416072138752,400145022976,416256983040,427529863168,41535473.6896869,10.017272027773,9.63381388076849,10.0217223029614,10.2931259761738
