,NAME_3,DEA crop mask,ESRI crops,ESA crops,CGLS crops
0,Addis Ketema,0.0015,0.0,0.060000000000000005,0.014827000000000002
1,Akaki - Kalit,61.955000000000005,65.5153,68.3865,47.02622300000001
2,Arada,0.11120000000000001,0.0,0.3144,0.18073999999999998
3,Bole,45.647000000000006,48.701800000000006,51.4349,37.347272999999994
4,Gulele,0.6781,0.9747,1.1478000000000002,2.3648289999999994
5,Kirkos,0.2591,0.0,0.4445,0.096494
6,Kolfe - Keran,6.205,2.7352000000000003,11.745700000000001,5.794034000000001
7,Lideta,0.7877000000000001,0.0402,0.9587,0.5145810000000001
8,Nefas Silk,11.4711,4.7537,10.9588,7.182229000000002
9,Yeka,11.435400000000001,18.9494,18.6274,13.250123000000002
10,Adaa'r,4.8665,0.8137000000000001,1.1876,2.654923000000011
11,Afambo,0.1109,63.492200000000004,45.362500000000004,52.46984100000005
12,Aysaita,2.0441000000000003,231.41170000000002,223.1192,110.5713820000003
13,Chifra,11.7139,13.775,108.0231,12.151715000000033
14,Dubti,0.0364,291.0125,271.1547,84.44869900000042
15,Elidar,0.018600000000000002,38.8091,109.0951,51.29705299999984
16,Kurri,0.0,4.006,28.6584,19.41257000000006
17,Mile,0.0811,6.9865,89.1636,24.30182300000009
18,Ab Ala,25.605900000000002,20.067600000000002,33.520900000000005,46.00617499999989
19,Afdera,0.0,0.005,8.2119,15.182250000000135
20,Berahile,0.0354,1.3467,14.3733,37.254306999999855
21,Bidu,0.0,2.5741,12.836400000000001,21.711500000000044
22,Dalul,0.1159,2.3948,6.141500000000001,25.7512810000001
23,Erebti,0.0,0.20500000000000002,2.0399000000000003,0.9617829999999992
24,Koneba,0.0483,4.8669,1.3013000000000001,3.189798999999993
25,Megale,1.1362,3.0421,1.7315,17.59125400000002
26,Amibara,222.532,266.868,166.2182,151.764537999999
27,Argoba Special Woreda,47.372,46.3701,30.8698,121.41938100000002
28,Awash Fentale,34.859,297.5702,27.817500000000003,48.255829
29,Bure Mudaytu,14.533800000000001,41.689800000000005,36.276700000000005,47.608216999999996
30,Dulecha,26.2631,80.0265,8.5919,37.93050099999999
31,Gewane,111.1986,173.51930000000002,491.8492,181.91939700000137
32,Awra,0.0268,4.4834000000000005,47.8378,3.513429000000011
33,Ewa,5.766,9.0675,50.6937,22.803067000000002
34,Gulina,0.4252,4.2344,1.4192,13.239959999999995
35,Teru,0.0,10.2559,69.4628,49.133348
36,Yalo,0.441,19.902800000000003,1.7772000000000001,23.844601000000022
37,Dalfagi,6.8796,2.2377000000000002,0.6458,22.061107000000003
38,Dewe,24.9937,0.5873,4.1529,15.97758299999999
39,Hadelela,28.9451,10.3034,1.0304,14.745893000000033
40,Simurobi Gele'alo,115.7462,33.575700000000005,34.6824,73.37764999999992
41,Telalak,13.406600000000001,1.4722000000000002,1.9482000000000002,4.442995999999986
42,Ankasha,774.0254,776.7507,804.4985,440.83674299999973
43,Banja,305.16630000000004,310.5967,248.151,172.11964400000002
44,Dangila,658.2224,749.6483000000001,680.0655,416.9987819999997
45,Fagta Lakoma,308.93280000000004,485.6926,337.3353,240.85483300000007
46,Guagusa Shikudad,223.09050000000002,226.87900000000002,208.5663,129.11563299999986
47,Guangua,1558.7322000000001,1165.1423,1283.6569,779.272000000001
48,Jawi,851.6376,305.8557,807.8211,639.5244420000008
49,Argoba,84.9895,42.897400000000005,39.185700000000004,81.15419800000015
50,Bahir Dar,0.7903,0.9599000000000001,1.2873,0.9294340000000002
51,Dera,1116.0700000000002,1099.586,1312.223,812.4936220000014
52,East Esite,733.6020000000001,800.4440000000001,907.7602,631.1031470000022
53,Ebenat,1006.3437,619.8667,1005.2700000000001,1100.3985709999993
54,Farta,679.5679,1013.8795,917.5951,592.2795270000007
55,Fogera,879.5258,958.6632000000001,1004.4142,596.8228699999999
56,Lay Gayint,655.3618,532.9435,768.6594,660.213402999999
57,Libo Kemkem,667.025,687.1459,766.288,535.9090150000003
58,Simada,754.4340000000001,526.4584,981.0852000000001,876.2525189999977
59,Tach Gayint,264.7025,173.7828,320.2558,301.70888399999933
60,West Esite,631.5899000000001,531.936,695.0308,490.2199019999994
61,Albuko,203.0817,309.99100000000004,218.78230000000002,195.0903999999999
62,Ambasel,174.3556,218.5028,198.9387,285.63386999999915
63,Debresina,501.62170000000003,449.2744,535.5682,380.6549060000001
64,Dessie Zuria,547.3463,857.4061,629.1724,482.3031510000014
65,Jama,519.2676,620.6133,729.0073,529.2180830000011
66,Kalu,359.9834,496.87640000000005,328.5494,283.99418
67,Kelela,667.8523,903.8274,918.2622,686.4187130000004
68,Kutaber,270.5376,301.9066,269.3739,268.0492420000003
69,Legambo,468.41380000000004,739.3745,564.7506000000001,415.963514
70,Legehida,251.80780000000001,279.45550000000003,274.7101,203.07538200000008
71,Mehal Sayint,249.05360000000002,226.8913,271.7608,213.56056300000017
72,Mekdela,476.1795,514.936,535.6056,548.9429800000015
73,Sayint,490.64660000000003,453.9911,519.738,518.2811549999996
74,Tenta,468.07930000000005,711.0929,643.4918,534.9156159999994
75,Thehulederie,209.3519,252.16670000000002,175.3955,123.81603099999992
76,Wegde,596.0193,483.2135,598.5729,468.5686290000011
77,Were Ilu,417.8709,506.16310000000004,516.4192,379.7408849999997
78,Worebabu,140.73760000000001,244.9651,116.7393,174.47834300000002
79,Bahir Dar Zuria,835.7812,1156.1715000000002,1239.9274,757.2796669999998
80,Bure,417.2223,416.997,490.8287,306.1618279999994
81,Debub Achefer,857.2011,770.5757,882.89,547.6470930000014
82,Dega Damot,468.86580000000004,724.7068,523.7176000000001,361.3954079999996
