,0,1
0,0,0.0015
1,1,61.955000000000005
2,2,0.11120000000000001
3,3,45.647000000000006
4,4,0.6781
5,5,0.2591
6,6,6.205
7,7,0.7877000000000001
8,8,11.4711
9,9,11.435400000000001
10,10,4.8665
11,11,0.1109
12,12,2.0441000000000003
13,13,11.7139
14,14,0.0364
15,15,0.018600000000000002
16,16,0.0
17,17,0.0811
18,18,25.605900000000002
19,19,0.0
20,20,0.0354
21,21,0.0
22,22,0.1159
23,23,0.0
24,24,0.0483
25,25,1.1362
26,26,222.532
27,27,47.372
28,28,34.859
29,29,14.533800000000001
30,30,26.2631
31,31,111.1986
32,32,0.0268
33,33,5.766
34,34,0.4252
35,35,0.0
36,36,0.441
37,37,6.8796
38,38,24.9937
39,39,28.9451
40,40,115.7462
41,41,13.406600000000001
42,42,774.0254
43,43,305.16630000000004
44,44,658.2224
45,45,308.93280000000004
46,46,223.09050000000002
47,47,1558.7322000000001
48,48,851.6376
49,49,84.9895
50,50,0.7903
51,51,1116.0700000000002
52,52,733.6020000000001
53,53,1006.3437
54,54,679.5679
55,55,879.5258
56,56,655.3618
57,57,667.025
58,58,754.4340000000001
59,59,264.7025
60,60,631.5899000000001
61,61,203.0817
62,62,174.3556
63,63,501.62170000000003
64,64,547.3463
65,65,519.2676
66,66,359.9834
67,67,667.8523
68,68,270.5376
69,69,468.41380000000004
70,70,251.80780000000001
71,71,249.05360000000002
72,72,476.1795
73,73,490.64660000000003
74,74,468.07930000000005
75,75,209.3519
76,76,596.0193
77,77,417.8709
78,78,140.73760000000001
79,79,835.7812
80,80,417.2223
81,81,857.2011
82,82,468.86580000000004
83,83,491.89340000000004
84,84,545.6638
85,85,849.4514
86,86,330.0027
87,87,417.7354
88,88,696.9486
89,89,527.9987
90,90,950.25
91,91,483.1754
92,92,536.4011
93,93,594.8481
94,94,219.5044
95,95,430.5777
96,96,428.07
97,97,344.4975
98,98,534.9975000000001
99,99,410.7277
100,100,524.1093000000001
101,101,540.5934
102,102,178.1434
103,103,559.4281
104,104,817.8726
105,105,433.858
106,106,456.3772
107,107,418.45160000000004
108,108,385.68960000000004
109,109,157.9384
110,110,120.3469
111,111,156.2123
112,112,635.7616
113,113,210.6604
114,114,175.5764
115,115,222.6314
116,116,244.9127
117,117,309.95930000000004
118,118,335.4365
119,119,520.8781
120,120,160.7801
121,121,174.3665
122,122,306.8288
123,123,370.58340000000004
124,124,411.7081
125,125,963.9039
126,126,292.78770000000003
127,127,303.0328
128,128,347.2274
129,129,225.22990000000001
130,130,174.7594
131,131,254.36350000000002
132,132,199.7722
133,133,182.6648
134,134,207.1877
135,135,178.9454
136,136,669.6851
137,137,221.1211
138,138,549.1929
139,139,396.2036
140,140,407.89680000000004
141,141,836.7126000000001
142,142,766.5339
143,143,900.5393
144,144,548.5589
145,145,219.5071
146,146,771.9347
147,147,1362.7248
148,148,1191.4404
149,149,688.4187000000001
150,150,457.8659
151,151,771.1286
152,152,127.1704
153,153,762.1849000000001
154,154,731.7443000000001
155,155,532.0854
156,156,272.06080000000003
157,157,300.3893
158,158,233.2075
159,159,296.34590000000003
160,160,356.7912
161,161,416.0973
162,162,403.89390000000003
163,163,903.6467
164,164,423.48420000000004
165,165,226.4273
166,166,487.30150000000003
167,167,174.79590000000002
168,168,90.68950000000001
169,169,493.53650000000005
170,170,232.05110000000002
171,171,473.7916
172,172,466.36310000000003
173,173,132.0201
174,174,127.9128
175,175,114.4808
176,176,275.8498
177,177,90.05550000000001
178,178,96.19800000000001
179,179,176.43380000000002
180,180,749.6718000000001
181,181,351.50710000000004
182,182,80.9786
183,183,506.3901
184,184,672.2318
185,185,1126.0516
186,186,919.0073000000001
187,187,343.3619
188,188,547.8451
189,189,300.2398
190,190,379.73150000000004
191,191,36.958800000000004
192,192,0.1822
193,193,167.8239
194,194,677.479
195,195,265.07480000000004
196,196,0.0
197,197,85.51830000000001
198,198,132.3736
199,199,2.8757
200,200,83.73020000000001
201,201,54.2787
202,202,5.3301
203,203,15.0652
204,204,25.865000000000002
205,205,26.104000000000003
206,206,48.2451
207,207,410.1073
208,208,198.5
209,209,338.28360000000004
210,210,246.507
211,211,750.5755
212,212,244.18300000000002
213,213,231.31150000000002
214,214,625.831
215,215,318.99670000000003
216,216,477.8136
217,217,210.03230000000002
218,218,422.47200000000004
219,219,912.0070000000001
220,220,340.7536
221,221,306.3627
222,222,858.4481000000001
223,223,725.7946000000001
224,224,126.9076
225,225,511.2617
226,226,295.7123
227,227,569.0965
228,228,266.9306
229,229,466.39360000000005
230,230,597.7545
231,231,526.9490000000001
232,232,189.7093
233,233,23.110400000000002
234,234,223.4323
235,235,668.6174000000001
236,236,782.4227000000001
237,237,297.5556
238,238,380.4809
239,239,452.27680000000004
240,240,151.60590000000002
241,241,288.3158
242,242,170.3563
243,243,815.3839
244,244,641.3562000000001
245,245,0.6329
246,246,84.01350000000001
247,247,865.2328
248,248,324.8636
249,249,8.0942
250,250,134.3843
251,251,0.0
252,252,0.0
253,253,0.0
254,254,312.6123
255,255,245.709
256,256,199.7564
257,257,0.151
258,258,0.0364
259,259,113.86800000000001
260,260,318.2858
261,261,713.9829000000001
262,262,736.9765
263,263,377.4703
264,264,308.1138
265,265,399.4032
266,266,345.2464
267,267,289.81780000000003
268,268,223.44
269,269,315.6223
270,270,209.2912
271,271,301.76820000000004
272,272,421.02930000000003
273,273,318.90790000000004
274,274,673.1849000000001
275,275,341.75550000000004
276,276,431.8401
277,277,428.1959
278,278,231.91760000000002
279,279,139.3249
280,280,272.9717
281,281,176.3478
